difficulty_bin,feedforward_mean_accuracy,recurrent_mean_accuracy,shared_workspace_mean_accuracy,private_modules_mean_accuracy,unlimited_shared_state_mean_accuracy,grand_mean_accuracy,architecture_accuracy_spread,within_tolerance,distance_from_target,selected_common_bin
0,0.6645317690719181,0.6598329991320744,0.6655643013198456,0.6602968904318678,0.6630054170532428,0.6626462754017897,0.005731302187771181,True,0.03735372459821029,False
1,0.6686130075458139,0.6608575877350581,0.6687477542220626,0.662534435261708,0.6667714696370823,0.665504850880345,0.007890166487004469,True,0.03449514911965501,False
2,0.699548948795948,0.7019915184391531,0.7028156983801118,0.6987547390346606,0.7024710413138927,0.7011163891927532,0.004060959345451254,True,0.0011163891927532532,True
3,0.8207435578780301,0.8212676119604114,0.8205339362450776,0.814754368365101,0.8223905849940857,0.8199380118885411,0.007636216628984727,True,0.11993801188854114,False
4,0.9586651385022997,0.9596028757274906,0.9593349508060075,0.9559412351338881,0.9607489990027239,0.9588586398344819,0.004807763868835857,True,0.258858639834482,False
5,0.9987250828696135,0.9986650867693599,0.9986200896941699,0.9985750926189798,0.9988450750701204,0.9986860854044487,0.0002699824511406268,True,0.29868608540444874,False
6,1.0,0.9999699713226131,0.9999849856613066,0.9999549569839197,1.0,0.9999819827935678,4.5043016080326126e-05,True,0.2999819827935678,False
7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,0.30000000000000004,False
8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,0.30000000000000004,False
9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,0.30000000000000004,False
10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,0.30000000000000004,False
11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,0.30000000000000004,False
